transaction period,memo,merchant categ,amount,remaining
2024-05-19,Restaurant Depot,Food Supplies,-644.16,-4890.269999999997
2024-05-20,Online Order - UberEats,Sales,498.31,-4391.9599999999955
2024-05-20,Business License Fee,Miscellaneous,-275.1,-4667.059999999994
2024-05-20,Square POS Payment,Sales,175.49,-4491.569999999992
2024-05-21,In-store Cash Sale,Sales,435.35,-4056.219999999994
2024-05-21,Monthly Rent,Rent,-3775.54,-7831.759999999995
2024-05-21,Equipment Repair,Maintenance,-213.14,-8044.899999999994
2024-05-21,Cleaning Service,Maintenance,-506.48,-8551.379999999994
2024-05-21,Electric Bill,Utilities,-299.05,-8850.429999999993
2024-05-21,Restaurant Depot,Food Supplies,-444.29,-9294.719999999994
2024-05-22,In-store Cash Sale,Sales,343.38,-8951.339999999993
2024-05-22,Sysco,Food Supplies,-214.46,-9165.799999999992
2024-05-22,In-store Cash Sale,Sales,374.42,-8791.379999999994
2024-05-22,Water Utility,Utilities,-210.31,-9001.689999999995
2024-05-23,US Foods,Food Supplies,-671.9,-9673.589999999997
2024-05-23,Business License Fee,Miscellaneous,-273.01,-9946.599999999995
2024-05-24,Online Order - UberEats,Sales,207.54,-9739.059999999994
2024-05-24,In-store Cash Sale,Sales,271.63,-9467.429999999993
2024-05-24,Sysco,Food Supplies,-599.35,-10066.779999999992
2024-05-25,Square POS Payment,Sales,69.62,-9997.159999999993
2024-05-25,Marketing Expense,Miscellaneous,-288.48,-10285.639999999992
2024-05-25,Equipment Repair,Maintenance,-623.4,-10909.039999999994
2024-05-26,Business License Fee,Miscellaneous,-157.05,-11066.089999999993
2024-05-26,Business License Fee,Miscellaneous,-295.08,-11361.169999999995
2024-05-26,Sysco,Food Supplies,-508.08,-11869.249999999996
2024-05-26,Cleaning Service,Maintenance,-439.7,-12308.949999999997
2024-05-26,Gas Bill,Utilities,-380.85,-12689.799999999996
2024-05-27,Online Order - UberEats,Sales,93.73,-12596.069999999996
2024-05-27,Online Order - UberEats,Sales,211.39,-12384.679999999997
2024-05-28,US Foods,Food Supplies,-901.9,-13286.579999999994
2024-05-28,Square POS Payment,Sales,111.48,-13175.099999999991
2024-05-28,In-store Cash Sale,Sales,182.12,-12992.979999999989
2024-05-28,Employee Payroll,Payroll,-1235.55,-14228.529999999992
2024-05-28,Online Order - UberEats,Sales,52.33,-14176.19999999999
2024-05-28,Square POS Payment,Sales,81.92,-14094.279999999992
2024-05-29,Gas Bill,Utilities,-367.0,-14461.279999999992
2024-05-29,Gas Bill,Utilities,-128.19,-14589.469999999994
2024-05-29,Online Order - UberEats,Sales,197.67,-14391.799999999996
2024-05-29,US Foods,Food Supplies,-429.23,-14821.029999999999
2024-05-29,Online Order - UberEats,Sales,162.61,-14658.419999999998
2024-05-30,Local Farmers Market,Food Supplies,-488.15,-15146.57
2024-05-30,Sysco,Food Supplies,-862.3,-16008.870000000003
2024-05-30,Restaurant Depot,Food Supplies,-698.31,-16707.18
2024-05-30,Sysco,Food Supplies,-355.5,-17062.68
2024-05-30,Monthly Rent,Rent,-3399.02,-20461.699999999997
2024-05-31,Restaurant Depot,Food Supplies,-980.68,-21442.379999999997
2024-05-31,Online Order - UberEats,Sales,68.48,-21373.899999999994
