Transaction Period,Memo,Cost/Price,Merchant Categ,Remaining,,,,
1/10/25,,366,,1173758,,,,
10/23/25,,-4125,,1169633,,,,
4/8/25,,7864,,1177497,,,,
10/14/25,,-2685,,1174812,,,,
1/6/25,,-1415,,1173397,,,,
6/18/25,,-2034,,1171363,,,,
11/10/25,,7379,,1178742,,,,
2/8/25,,5455,,1184197,,,,
1/11/25,,7550,,1191747,,,,
11/16/25,,-1997,,1189750,,,,
4/8/25,,3549,,1193299,,,,
9/9/25,,3364,,1196663,,,,
7/16/25,,-4357,,1192306,,,,
9/23/25,,2238,,1194544,,,,
5/5/25,,3063,,1197607,,,,
5/2/25,,-230,,1197377,,,,
4/27/25,,2882,,1200259,,,,
7/13/25,,7464,,1207723,,,,
12/21/25,,4773,,1212496,,,,
3/30/25,,6670,,1219166,,,,
11/1/25,,8775,,1227941,,,,
9/18/25,,2850,,1230791,,,,
4/19/25,,1271,,1232062,,,,
12/9/25,,6264,,1238326,,,,
9/12/25,,6772,,1245098,,,,
9/14/25,,5154,,1250252,,,,
4/17/25,,2737,,1252989,,,,
5/19/25,,-2333,,1250656,,,,
1/7/25,,33,,1250689,,,,
7/21/25,,9208,,1259897,,,,
1/8/25,,7291,,1267188,,,,
2/2/25,,-2974,,1264214,,,,
12/24/25,,-1210,,1263004,,,,
9/26/25,,-4000,,1259004,,,,
7/8/25,,9790,,1268794,,,,
12/14/25,,6598,,1275392,,,,
7/10/25,,-1631,,1273761,,,,
6/29/25,,-1808,,1271953,,,,
3/29/25,,3913,,1275866,,,,
5/14/25,,1699,,1277565,,,,
3/6/25,,8907,,1286472,,,,
12/30/25,,-11,,1286461,,,,
11/12/25,,751,,1287212,,,,
11/15/25,,2241,,1289453,,,,
3/5/25,,-321,,1289132,,,,
6/7/25,,-4948,,1284184,,,,
7/19/25,,-3920,,1280264,,,,
4/5/25,,956,,1281220,,,,
1/22/25,,1201,,1282421,,,,
12/15/25,,-3460,,1278961,,,,
6/1/25,,3924,,1282885,,,,
6/30/25,,-1554,,1281331,,,,
2/20/25,,3500,,1284831,,,,
10/19/25,,8436,,1293267,,,,
10/20/25,,-4151,,1289116,,,,
7/28/25,,4850,,1293966,,,,
4/24/25,,-645,,1293321,,,,
2/20/25,,1454,,1294775,,,,
3/12/25,,1818,,1296593,,,,
10/10/25,,7721,,1304314,,,,
1/27/25,,2557,,1306871,,,,
9/8/25,,-2550,,1304321,,,,
12/3/25,,-4010,,1300311,,,,
4/7/25,,5195,,1305506,,,,
8/11/25,,2022,,1307528,,,,
8/14/25,,2859,,1310387,,,,
5/2/25,,-4784,,1305603,,,,
3/17/25,,4376,,1309979,,,,
4/24/25,,4628,,1314607,,,,
7/25/25,,5400,,1320007,,,,
7/29/25,,-4366,,1315641,,,,
3/8/25,,-3188,,1312453,,,,
3/20/25,,-1076,,1311377,,,,
5/13/25,,-687,,1310690,,,,
6/24/25,,9112,,1319802,,,,
11/8/25,,9001,,1328803,,,,
2/16/25,,7936,,1336739,,,,
8/21/25,,8343,,1345082,,,,
2/7/25,,8968,,1354050,,,,
4/4/25,,94,,1354144,,,,
11/13/25,,1167,,1355311,,,,
12/10/25,,6056,,1361367,,,,
7/25/25,,4232,,1365599,,,,
11/29/25,,6765,,1372364,,,,
8/18/25,,3535,,1375899,,,,
12/9/25,,8837,,1384736,,,,
5/22/25,,8793,,1393529,,,,
11/23/25,,3527,,1397056,,,,
3/6/25,,5163,,1402219,,,,
3/9/25,,-3903,,1398316,,,,
1/18/25,,6738,,1405054,,,,
4/12/25,,9347,,1414401,,,,
9/30/25,,6841,,1421242,,,,
6/16/25,,1985,,1423227,,,,
6/19/25,,-3909,,1419318,,,,
1/6/25,,8281,,1427599,,,,
11/12/25,,4587,,1432186,,,,
2/1/25,,985,,1433171,,,,
9/17/25,,3381,,1436552,,,,
12/18/25,,1005,,1437557,,,,
8/11/25,,7244,,1444801,,,,
3/31/25,,6267,,1451068,,,,
11/5/25,,280,,1451348,,,,
9/25/25,,1597,,1452945,,,,
6/3/25,,-1445,,1451500,,,,
1/4/25,,1970,,1453470,,,,
3/27/25,,8477,,1461947,,,,
3/16/25,,9446,,1471393,,,,
10/19/25,,9114,,1480507,,,,
5/8/25,,4741,,1485248,,,,
6/5/25,,8223,,1493471,,,,
9/7/25,,3982,,1497453,,,,
1/15/25,,9998,,1507451,,,,
8/1/25,,-1934,,1505517,,,,
9/7/25,,-4873,,1500644,,,,
2/9/25,,1260,,1501904,,,,
12/27/25,,-1546,,1500358,,,,
5/3/25,,5066,,1505424,,,,
3/5/25,,-2871,,1502553,,,,
8/28/25,,-184,,1502369,,,,
4/19/25,,-2847,,1499522,,,,
7/20/25,,4029,,1503551,,,,
11/15/25,,-1322,,1502229,,,,
9/25/25,,3661,,1505890,,,,
11/22/25,,8641,,1514531,,,,
4/17/25,,9963,,1524494,,,,
7/17/25,,2979,,1527473,,,,
12/26/25,,-2697,,1524776,,,,
8/2/25,,1734,,1526510,,,,
7/26/25,,-4615,,1521895,,,,
5/15/25,,-102,,1521793,,,,
11/16/25,,-4867,,1516926,,,,
11/27/25,,-3430,,1513496,,,,
8/9/25,,-2015,,1511481,,,,
2/8/25,,-2560,,1508921,,,,
7/14/25,,-1275,,1507646,,,,
2/14/25,,7985,,1515631,,,,
1/10/25,,-2118,,1513513,,,,
11/7/25,,-3664,,1509849,,,,
10/26/25,,-2921,,1506928,,,,
5/15/25,,-3728,,1503200,,,,
10/4/25,,3726,,1506926,,,,
3/26/25,,6147,,1513073,,,,
1/3/25,,944,,1514017,,,,
10/31/25,,5804,,1519821,,,,
9/5/25,,-948,,1518873,,,,
1/27/25,,-1636,,1517237,,,,
9/6/25,,3800,,1521037,,,,
9/14/25,,8186,,1529223,,,,
8/18/25,,4941,,1534164,,,,
9/24/25,,7125,,1541289,,,,
5/2/25,,944,,1542233,,,,
8/23/25,,2314,,1544547,,,,
4/28/25,,-1872,,1542675,,,,
7/4/25,,4675,,1547350,,,,
8/25/25,,-4299,,1543051,,,,
8/26/25,,6325,,1549376,,,,
1/26/25,,4537,,1553913,,,,
12/26/25,,4777,,1558690,,,,
12/16/25,,983,,1559673,,,,
1/6/25,,4677,,1564350,,,,
1/30/25,,-2674,,1561676,,,,
8/19/25,,8171,,1569847,,,,
1/19/25,,5651,,1575498,,,,
5/26/25,,5728,,1581226,,,,
4/15/25,,1652,,1582878,,,,
3/4/25,,7089,,1589967,,,,
12/30/25,,8719,,1598686,,,,
9/1/25,,-1062,,1597624,,,,
4/15/25,,4277,,1601901,,,,
8/26/25,,-2366,,1599535,,,,
10/19/25,,5510,,1605045,,,,
2/20/25,,3150,,1608195,,,,
1/5/25,,3800,,1611995,,,,
4/22/25,,6557,,1618552,,,,
3/5/25,,1002,,1619554,,,,
7/15/25,,-3776,,1615778,,,,
12/25/25,,-1857,,1613921,,,,
6/10/25,,5813,,1619734,,,,
3/4/25,,-2271,,1617463,,,,
8/16/25,,1291,,1618754,,,,
7/3/25,,-270,,1618484,,,,
9/7/25,,593,,1619077,,,,
2/12/25,,9946,,1629023,,,,
11/12/25,,-335,,1628688,,,,
12/25/25,,7920,,1636608,,,,
1/10/25,,-812,,1635796,,,,
10/30/25,,1212,,1637008,,,,
6/18/25,,885,,1637893,,,,
1/17/25,,-1396,,1636497,,,,
5/20/25,,8159,,1644656,,,,
7/20/25,,-4050,,1640606,,,,
2/7/25,,522,,1641128,,,,
1/29/25,,7065,,1648193,,,,
11/7/25,,-1658,,1646535,,,,
4/23/25,,7950,,1654485,,,,
11/28/25,,-729,,1653756,,,,
12/4/25,,8054,,1661810,,,,
9/2/25,,-4492,,1657318,,,,
4/7/25,,8587,,1665905,,,,
11/1/25,,-209,,1665696,,,,
3/20/25,,-2997,,1662699,,,,
9/14/25,,1702,,1664401,,,,
10/30/25,,6146,,1670547,,,,
7/17/25,,2599,,1673146,,,,
1/18/25,,-1667,,1671479,,,,
9/21/25,,6273,,1677752,,,,
10/22/25,,1616,,1679368,,,,
4/10/25,,9450,,1688818,,,,
5/10/25,,8946,,1697764,,,,
1/26/25,,5904,,1703668,,,,
12/11/25,,7882,,1711550,,,,
11/16/25,,9210,,1720760,,,,
6/24/25,,9981,,1730741,,,,
1/6/25,,6596,,1737337,,,,
12/27/25,,9174,,1746511,,,,
9/14/25,,5802,,1752313,,,,
9/10/25,,-1354,,1750959,,,,
8/9/25,,2323,,1753282,,,,
1/9/25,,7409,,1760691,,,,
7/13/25,,-3681,,1757010,,,,
10/8/25,,5350,,1762360,,,,
11/2/25,,-4427,,1757933,,,,
7/26/25,,-1050,,1756883,,,,
9/10/25,,-4308,,1752575,,,,
8/20/25,,219,,1752794,,,,
9/29/25,,2382,,1755176,,,,
7/2/25,,2148,,1757324,,,,
9/26/25,,2832,,1760156,,,,
10/2/25,,9976,,1770132,,,,
1/4/25,,8660,,1778792,,,,
7/1/25,,-1179,,1777613,,,,
2/2/25,,736,,1778349,,,,
3/4/25,,8346,,1786695,,,,
5/15/25,,-611,,1786084,,,,
12/6/25,,1487,,1787571,,,,
5/24/25,,-4352,,1783219,,,,
1/22/25,,3344,,1786563,,,,
